id;address;symptom;date;status;price
1;portal reboot;holistic Peso Handcrafted;2023-06-20T08:51:04;REJECTED;49140
2;Keys online;virtual HDD;2023-06-20T14:53:07;PENDING;87119
3;Investment synergize;feed Oval Creek;2023-06-20T13:06:04;PENDING;14754
4;Virginia Finland;Jewelery;2023-06-21T03:57:49;APPROVED;84224
5;Pound;Oro;2023-06-21T04:40:06;APPROVED;45175
6;Bedfordshire;hub transitional;2023-06-21T05:50:18;REJECTED;7768
7;Rupee Legacy;programming Cambridgeshire Table;2023-06-20T19:35:35;APPROVED;95921
8;wireless Algeria TCP;generate Auto;2023-06-20T22:38:06;PENDING;46960
9;payment;quantifying Internal Wooden;2023-06-21T05:33:10;REJECTED;28712
10;Director initiatives Personal;Granite Bacon Tasty;2023-06-21T02:38:27;PENDING;18730
